Paper ID|Type|Authors|Title
286|1 - Poster|John Briguglio, Ann Hermundstad, Mary Conte, Jonathan Victor, Gasper Tkacik, Vijay  Balasubramanian|Perceptual salience of fourth-order visual textures and natural scene statistics
287|1 - Poster|Philipp Schnepel, Ad Aertsen, Arvind Kumar, Clemens Boucsein|Physiology and impact of horizontal connections in rat neocortex
288|1 - Poster|Maryam Shanechi, Jessica Chemali, Max Liberman , Ken Solt, Emery Brown|A brain-machine interface for control of medically-induced coma
292|1 - Poster|Wei Wei, Jonathan Rubin, Xiao-Jing Wang|Being balanced: the role of the indirect pathway of the basal ganglia in threshold detection
295|1 - Poster|Bongsoo Suh, Stephen Baccus|Disentangling serial adaptation using a biophysically constrained model
296|1 - Poster|Emily Denton, Richard Zemel|Conditional random fields for spiking populations of neurons
297|1 - Poster|Alessandro Ticchi, Aldo Faisal|A biophysical model of Bayesian inference and MCMC sampling in neural circuits
298|1 - Poster|James Trousdale, Sam Carroll, Kresimir Josic|Encoding the direction of ego-motion in the fly brain
302|1 - Poster|Ekaterina Abramova, Luke Dickens, Daniel Kuhn, Aldo Faisal|A model of hierarchical motor control and learning: from action sequence to muscular control
303|1 - Poster|Robert Guetig|Self-supervised neuronal processing of continuous sensory streams
304|1 - Poster|Il Park, Evan Archer, Nicholas Priebe, Jonathan Pillow|Got a moment or two? Neural models and linear dimensionality reduction
306|1 - Poster|Ulrik Beierholm, Tim Yates|A non-parametric Bayesian prior for causal inference of auditory streaming
307|1 - Poster|Vassilios Christopoulos, Paul Schrater|A Computational theory of action-based decisions 
309|1 - Poster|Mikio Aoi, Yoonseob Lim, Uri Eden, Timothy Gardner|Object-based spectro-temporal analysis of auditory signals
313|1 - Poster|Johnatan Aljadeff, Michael J. Berry II, Tatyana Sharpee|Singular dimensions in spike triggered ensembles of correlated stimuli
314|1 - Poster|Tao Hu, Alexander Genkin, Dmitri Chklovskii|Robust online estimation of noisy sparse signals by threshold-linear and integrate-and-fire neurons
315|1 - Poster|Jorg Lucke, Jacquelyn Shelton, Jorg Bornschein, Philip Sterne, Pietro Berkes, Abdul-Saboor Sheikh|Combining Feed-Forward Processing and Sampling for Neurally Plausible Encoding Models
316|1 - Poster|Edward Frady, William Kristan|Gain-control via shunting-inhibition in a spiking-model of leech local-bend.
317|1 - Poster|Pedro Goncalves|A plasticity mechanism for the robustness of the oculomotor integrator
319|1 - Poster|Micah Richert, Botond Szatmary, Eugene Izhikevich|Self-tuning spike-timing dependent plasticity curves to simplify models and improve learning
320|1 - Poster|Nicholas Steinmetz, Ben Benjamin, Kwabena Boahen|NMDA-mediated feedback accounts for effects of visual spatial attention in Neurogrid simulations
323|1 - Poster|John Thompson, Gidon Felsen|Activity in mouse pedunculopontine tegmental nucleus reflects priors for action value
324|1 - Poster|Venkatesh Gopal, Robert Morton, Alexander  Grabenhofer|Seeing turbulence - real-time visualization of turbulent odor plumes
325|1 - Poster|Evan Archer, Il Park, Jonathan Pillow|Semi-parametric Bayesian entropy estimation for binary spike trains
328|1 - Poster|Gil Costa, Zachary  F. Mainen|Interplay of confidence and value in the transformation of olfaction-to-action
330|1 - Poster|Sean Kelly, Jens Kremkow, Jianzhong Jin, Yushi Wang, Qi Wang, Jose-Manuel Alonso, Garrett Stanley|Thalamic synchrony drives cortical feature selectivity in standard and novel visual stimuli
331|1 - Poster|Matthew Balcarras, Salva Ardid, Daniel Kaping, Stefan Everling, Thilo Womelsdorf|Model-free reinforcement learning predicts attentional selection during foraging in the macaque
332|1 - Poster|Botond Szatmary, Micah Richert, Jayram Moorkanikara Nageswaran, Csaba Petre, Filip Piekniewski, Sach Sokol, Eugene Izhikevich|Emergence of Bottom-up Saliency in a Spiking Model of V1
333|1 - Poster|Kris Chaisanguanthum, Helen Shen, Philip N. Sabes|Single Neuron Contributions to Motor Variability
334|1 - Poster|Arjun Bharioke, Shin-ya Takemura, Shiv Vitaladevuni, Richard Fetter, Zhiyuan Lu, Stephen Plaza, Louis Scheffer, Ian Meinertzhagen, Dmitri Chklovskii|Neural implementations of motion detection in the fly medulla: insights from connectivity and theory
336|1 - Poster|Paul Schrater, Nisheeth Srivastava|How does the brain compute value?  A rational model for preference formation.
338|1 - Poster|Mengchen Zhu, Ian Stevenson, Urs Koster, Charles Gray, Bruno Olshausen, Christopher Rozell|Sparse coding model and population response statistics to natural movies in V1
339|1 - Poster|Tomislav Milekovic, Daniel Bacher, Blaise Yvert, Leigh Hochberg, Emad Eskandar, Sydney Cash, John Donoghue|Volitional control by a person with tetraplegia of high gamma local field potentials (LFPs) recorded
340|1 - Poster|Geoffrey Adams, John Pearson, Michael Platt|Orbitofrontal cortex is sensitive to natural behavioral categories during social exploration
341|1 - Poster|Eugene Izhikevich, Filip Piekniewski, Jayram Moorkanikara Nageswaran, Csaba Petre, Micah Richert, Sach Sokol, Philip Meier, Marius Buibas, Dimitry Fisher, Botond Szatmary|Spontaneous emergence of simple and complex receptive fields in a spiking model of V1
342|1 - Poster|Nikon Rasumov, Jeremy Niven, Simon Laughlin|Energy and Information in insect photoreceptors
344|1 - Poster|Rainer Engelken, Michael  Monteforte, Fred Wolf|Dynamical entropy production in cortical circuits with different network topologies
345|1 - Poster|Jeffrey Beck, Ingmar Kanitscheider, Xaq Pitkow, Peter Latham, Alexandre Pouget|The perils of inferring information from correlations
346|1 - Poster|Daniel Marti, Omri Barak, Mattia Rigotti, Stefano Fusi|Scalability properties of multimodular networks with dynamic gating
347|1 - Poster|Balazs Hangya, Joshua Sanders, Adam Kepecs|From metacognition to statistics: relating confidence reports across species
348|1 - Poster|Joel Kaardal, Jeff Fitzgerald, Michael J. Berry II, Tatyana Sharpee|Functional Bases for Multidimensional Neural Computations
349|1 - Poster|Eric DeWitt, Andre Mendonca, Adam Kepecs, Zachary  F. Mainen|Confidence based learning in a perceptual task: how uncertainty and outcome influence choice
351|1 - Poster|Marjena Popovic, Ralf Haefner, Mate Lengyel, Jozsef Fiser|Psychophysical evidence for a sampling-based representation of uncertainty in low-level vision
353|1 - Poster|Herv? Rouault, Karol Gregor, Dmitri Chklovskii|A spatio-temporal lattice filter model for the visual pathway
355|1 - Poster|A. Moses Lee, Lunghao Tai, Antonello Bonci, Linda Wilbrecht|Striatal optogenetic stimulation reveals distinct neural computation for value-based decision making
356|1 - Poster|Gautam Agarwal, Ian Stevenson, Kenji Mizuseki, Gyorgy Buzsaki, Friedrich Sommer|Traveling waves of the hippocampal theta rhythm encode rat position
357|1 - Poster|Manisha Bhardwaj, Ronald Van den Berg, Wei Ji Ma, Kresimir Josic|Do humans account for stimulus correlations in visual perception ?
358|1 - Poster|Baktash Babadi, Bence Olveczky|Modeling adaptive changes in the motor program underlying birdsong
359|1 - Poster|Yevgeniy Sirotin, Roman Shusterman, Dmitry Rinberg|Neural coding of perceived odor intensity
360|1 - Poster|Falk Lieder|Controllability and resource-rational planning
361|1 - Poster|He Zheng, Douglas Ollerenshaw, Qi Wang, Garrett Stanley|Adaptive shaping of feature selectivity in the rodent vibrissa system
362|1 - Poster|Samuel Sober, Conor Kelly|A single computational mechanism for both stability and flexibility in vocal error correction
363|1 - Poster|Hongsup Shin, Ronald Van den Berg, Wei Ji Ma|Independent pools of visual short-term memory resource for different features
365|1 - Poster|Yasmine El-Shamayleh, Anitha Pasupathy|Size-invariant shape coding in visual area V4 
366|1 - Poster|David Pfau, Eftychios Pnevmatikakis, Liam Paninski|Robust learning of low dimensional dynamics from large neural ensembles
369|1 - Poster|Gregory Wayne, Larry Abbott|A design procedure for hierarchical neural control.
370|1 - Poster|Tatyana Sharpee, Minjoon Kouh, John Reynolds|Trade-off between curvature tuning and position invariance in visual area V4
372|1 - Poster|Friederike Schuur, Brian P Tam, Laurence T Maloney|Changing subjects? fallacies by changing their beliefs about the dynamics of their environment
374|1 - Poster|Timothy Hanks, Chunyu Ann Duan, Jeffrey Erlich, Bingni Brunton, Carlos Brody|Different response properties of rat parietal and frontal cortices during evidence accumulation
375|1 - Poster|Islam Badreldin, Karthikeyan Balasubramanian, Mukta Vaidya, Joshua Southerland, Andrew Fagg, Nicholas Hatsopoulos, Karim Oweiss|Evaluation of single unit error contribution to neural state space dynamics in linear BMI decoders
376|1 - Poster|Maria Dadarlat, Joseph O'Doherty, Philip N. Sabes|Multisensory integration of vision and intracortical microstimulation for sensory feedback. 
377|1 - Poster|Ari Pakman, Carl Smith, Liam Paninski|Sparse Bayesian inference and experimental design for synaptic weights and locations
378|1 - Poster|Manuel Schottdorf, Wolfgang Keil, Michael Schnabel, David M. Coppola, Siegrid L?wel, Leonard E. White, Matthias Kaschube, Fred Wolf|Do orientation preference maps arise from hexagonal retinal ganglion cell mosaics?
381|1 - Poster|John Murray, Alberto Bernacchia, Tatiana Pasternak, Camillo Padoa-Schioppa, Daeyeol Lee, Xiao-Jing Wang|Hierarchy of intrinsic timescales across primate cortex
383|1 - Poster|Jeffrey Markowitz, Gregory  Guitchounts, Timothy Gardner|Slow time-scales in songbird neural sequence generation.?
385|1 - Poster|Zhuo Wang, Alan Stocker, Haim Sompolinsky, Daniel Lee|Optimal neural tuning for arbitrary stimulus priors with Gaussian input noise
386|1 - Poster|Dongsung Huh|Novel motion illusion evidence for perception-action coupling
387|1 - Poster|Ana Calabrese, Sarah M N Woolley|Timescale-dependent shaping of correlations by stimulus features in the auditory system
389|1 - Poster|Jonathan Pillow, Il Park|Beyond Barlow: a Bayesian theory of efficient neural coding
392|1 - Poster|Ziqiang Wei, Tao Hu, Dmitri Chklovskii|Optimal de-noising and predictive coding account for spatiotemporal receptive field of LGN neurons
393|1 - Poster|David M?ly, Thomas Serre|Computational models of contour detection: role of lateral connections, inhibition and normalization
394|1 - Poster|Daniel O'Shea, Werapong Goo, Paul Kalanithi, Ilka Diester, Charu Ramakrishnan, Karl Deisseroth, Krishna Shenoy|Neural dynamics following optogenetic disruption of motor preparation
395|1 - Poster|Ashlan Reid, Tomas Hromadka, Anthony Zador|Feedforward inhibition controls tuning in auditory cortex by restricting initial spike counts
399|1 - Poster|Sean Escola, Larry Abbott|Internally generated transitions in multi-state recurrent neural networks
402|1 - Poster|Marino Pagan, Nicole Rust|Visual target signals are computed via a dynamic ?and-like? mechanism in IT and perirhinal cortex
403|1 - Poster|Justin Ales, Damon Clark, James Fitzgerald, Daryl Gohl, Marion Silies, Anthony Norcia, Thomas Clandinin|Motion estimation involves high-order correlations differentially tuned for light and dark edges
405|1 - Poster|Robbe Goris, Eero Simoncelli, Anthony Movshon|Modeling cortical responses to mixture stimuli reveals origins of orientation tuning variation
407|1 - Poster|Noam Roth, Margot Wohl, Nicole Rust|Invariant population representations of objects are enhanced in IT during target search
409|1 - Poster|Philip Meier, Micah Richert, Jayram Moorkanikara Nageswaran, Eugene Izhikevich|Temporally evolving surround suppression helps decoding in a spiking model of motion processing 
410|1 - Poster|Kamiar Rahnama Rad, Carl Smith, Liam Paninski|Efficient hierarchical receptive field estimation in simultaneously-recorded neural populations
411|1 - Poster|Pablo Jadzinsky, Stephen Baccus|Gating of retinal information transmission by saccadic eye movements
413|1 - Poster|Alireza Soltani, Ya-Hsuan Liu, Shih-Wei Wu|Dynamic Integration of Sensory Evidence and Diminishing Reward in Perceptual Decision Making
414|1 - Poster|R. James Cotton, Emmanouil Froudarakis, Peter  Saggau, Andreas Tolias|3D Random access ultrafast two-photon imaging reveals the structure of network activity. 
417|1 - Poster|Vladimir Itskov, Carina Curto|Associative memory encoding in bump attractor networks
418|1 - Poster|Wolfgang Keil, Fred Wolf, Juan-Daniel Florez-Weidinger, Matthias Kaschube, Michael Schnabel, David M. Coppola, Siegrid L?wel, Leonard E. White|Is there a critical area size for the transition from interspersed to columnar V1 architecture?
419|1 - Poster|Yingxue Wang, Eva  Pastalkova|Loss of theta modulation of the hippocampal cell firing is accompanied by deterioration of episode f
420|1 - Poster|Nima Dehghani, Adrien Peyrache, Eric Halgren, Sydney Cash, Alain Destexhe|The geometry of excitation-inhibition balance in human neocortex
421|1 - Poster|Jacob Yates, Il Park, Lawrence Cormack, Jonathan Pillow, Alexander Huk|Precise characterization of multiple LIP neurons in relation to stimulus and behavior
422|1 - Poster|Mayur Mudigonda, Ian Stevenson, Urs Koster, Christopher Hillar, Charles Gray, Bruno Olshausen|Predicting V1 neural responses to natural movies using the shift-invariant bispectrum 
423|1 - Poster|Ryan Adams, Geoffrey Hinton, Richard Zemel|Unsupervised learning of latent spiking representations
424|1 - Poster|Torsten L?dge, Robert Urbanczik, Walter Senn|Motion-induced Gain Modulation In V1 Improves Contour Detection
425|1 - Poster|Anan Moran, Donald Katz|Single neurons vs. population dynamics: What is changed through learning and extinction?
426|1 - Poster|Emmanouil Froudarakis, Philipp Berens, R. James Cotton, Alexander S. Ecker, Peter  Saggau, Matthias Bethge, Andreas Tolias|Encoding of natural scene statistics in the primary visual cortex of the mouse
427|1 - Poster|Maximilian Puelma Touzel, Michael  Monteforte, Fred Wolf|Controlling the trade-off between categorization and separation via resonance in the olfactory bulb
428|1 - Poster|Ioana Carcea, Natalya Zaika, Robert C. Froemke|Circuit mechanisms underlying cognitive flexibility in rats
429|1 - Poster|Peiran Gao, Eric Trautmann, Byron Yu, Gopal Santhanam, Stephen Ryu, Krishna Shenoy, Surya Ganguli|Dimensionality, dynamics, and correlations in the motor cortical substrate for reaching
430|1 - Poster|Jasper Snoek, Ryan Adams, Richard Zemel|Modeling inter-neuron inhibition with determinantal point processes
431|1 - Poster|Adhira Sunkara, Greg DeAngelis, Dora Angelaki|Compensation of heading tuning for rotation in area VIP: Retinal and extra-retinal contributions
432|1 - Poster|Patrick Campbell, Michael Buice, Duane Nykamp|The influence of network structure on neuronal dynamics
433|1 - Poster|Sachin Ranade, Duda Kvitsiani, Balazs Hangya, Z. Josh Huang, Adam Kepecs|Out of the zoo? Interneuron subtypes encode specific behavioral variables in the cingulate cortex
434|1 - Poster|Marcus Benna, Stefano Fusi|Long-term memory . . . now longer than ever
435|1 - Poster|Tobias Teichert, Dian  Yu, Vincent Ferrera|Individual FEF neurons code both task difficulty and an internally generated error signal
436|1 - Poster|Nathaniel Powell, Paul Schrater|Flexible probabilistic approach for measuring model learning independent of behavioral improvement.
437|1 - Poster|Venkatakrishnan Ramaswamy, Arunava Banerjee|Connectomic Constraints on Computation in Networks of Spiking Neurons
438|1 - Poster|Dimitri Yatsenko, Kresimir Josic, Andreas Tolias|Maximum-entropy modeling of population calcium activity in the visual cortex
439|1 - Poster|Mingbo Cai, David Eagleman|How is duration information from multiple sensory sources combined?
441|1 - Poster|Anirvan Nandy, Tatyana Sharpee, John Reynolds, Jude Mitchell|Toward a mechanistic description of shape-processing in area V4
442|1 - Poster|O. Ozan Koyluoglu, Ila Fiete|Information-theoretic limits on encoding over diverse populations
443|1 - Poster|Camille Gomez, Alexandra Smolyanskaya, Gabriel Kreiman, Richard Born|Silencing V2/V3 reduces spiking variability in MT: implications for excitatory/inhibitory balance
445|1 - Poster|Jayram Moorkanikara Nageswaran, Micah Richert, Csaba Petre, Filip Piekniewski, Sach Sokol, Botond Szatmary, Eugene Izhikevich|A Spiking model of Superior Colliculus for Bottom-Up Saliency
447|1 - Poster|Isao Nishikawa, Kazuyuki Aihara, Taro Toyoizumi|Signal processing in neural networks that generate or receive noise
449|1 - Poster|Adam Calhoun, Sreekanth Chalasani, Tatyana Sharpee|Spatial learning in C. elegans
451|1 - Poster|Guillaume Hennequin, Tim Vogels, Wulfram Gerstner|Transient collective dynamics in inhibition-stabilized motor circuits
454|1 - Poster|Emo Todorov, Yuval Tassa, Tom Erez, Igor Mordatch, Paul Kulchenko, Vikash Kumar|Synthesis of Complex Behaviors with Optimal Control
456|1 - Poster|Steeve Laquitaine, Justin Gardner|Humans exploit the uncertainty in priors to improve direction perception.
458|1 - Poster|Tatiana Engel, Nicholas Steinmetz, Tirin Moore, Kwabena Boahen|Effects of attention on spatio-temporal correlations across layers of a single column in area V4
459|1 - Poster|Marius Pachitariu, Lars Buesing, Maneesh Sahani|Recurrent generalized linear models with correlated Poisson observations
460|1 - Poster|Yu Hu, James Trousdale, Kresimir Josic, Eric Shea-Brown|Network motifs and collective spiking in neuronal networks
461|1 - Poster|Urs Koster, Bruno Olshausen, Christopher Hillar|Kernel regression for receptive field estimation
462|1 - Poster|Thaddeus Czuba, Lawrence Cormack, Alexander Huk, Adam Kohn|Distinct neural selectivity for 3D directions of visual motion.
463|1 - Poster|James McFarland, Adrian  Bondy, Bruce Cumming, Daniel Butts|Temporal windowing of stimulus processing in V1 by saccade-driven alpha oscillations
467|1 - Poster|Arman Abrahamyan, Justin Gardner|Past failures bias human decisions
468|1 - Poster|Neda Shahidi, Ariana Andrei, Ming Hu, Valentin Dragoi|Changes in laminar synchrony in V1 reflect perceptual decisions.
470|1 - Poster|Ralf Haefner, Pietro Berkes, Jozsef Fiser|Perceptual decision-making in a sampling-based neural representation
475|1 - Poster|Dustin Stansbury, Jack Gallant| Introducing MEDAL:a Matlab? Environment for Deep Architecture Learning
477|1 - Poster|Yuval Benjamini, Julien Mairal, Ben Willmore, Michael Oliver, Jack Gallant, Bin Yu| Representation of natural images in V4 using feature invariances
479|1 - Poster|Yashar Ahmadian, Sandro Romani, Amiram Grinvald, Misha  Tsodyks, Ken Miller|The role of adaptation in intrinsic dynamics of primary visual cortex
