Paper ID|Type|Authors|Title
32|1 - Poster|Kyriaki Sidiropoulou, Panayiota Poirazi|Encoding and decoding stimuli that generate persistent activity
33|1 - Poster|Matthew Chalk, Paul Masset, Boris Gutkin, Sophie Deneve|Normalization predicted by optimal inference in sensory systems 
34|1 - Poster|Jackson Cone, Mitchell Roitman|Ghrelin modulates phasic dopamine evoked by food-reward via action in the lateral hypothalamus
35|1 - Poster|Leyla Isik, Ethan Meyers, Joel Leibo, Tomaso Poggio|Timing of invariant object recognition in humans
37|1 - Poster|Yunguo Yu, Anita Schmid, Jonathan Victor|The laminar origin of sensitivity to high-order image statistics in macaque visual cortex
40|1 - Poster|Kristofer Bouchard, Keith Johnson, Edward Chang|An origin for coarticulation of speech sequences in human sensory-motor cortex
41|1 - Poster|Alexander Petrov, Taylor R. Hayes|Phasic Locus Coeruleus Activity Changes with Practice: A Pupillometry Study
42|1 - Poster|Robert Kerr, David B. Grayden, Doreen A. Thomas, Matthieu Gilson, Anthony N. Burkitt|Generalized reward-modulated STDP: a model of operant conditioning of cortical neurons
43|1 - Poster|Lilach Avitan, Zac Pujuc, Ethan Scott, Geoffrey Goodhill|Population codes for topography in the zebrafish optic tectum
44|1 - Poster|Komal Kapoor, Nisheeth Srivastava, Paul Schrater|Reconciling decisions from description with decisions from experience
45|1 - Poster|Christopher Hillar, Jascha Sohl-Dickstein, Kilian Koepsell|Efficient and optimal Little-Hopfield auto-associative memory storage using minimum probability flow
50|1 - Poster|Felipe Gerhard, Tilman Kispersky, Gabrielle J Gutierrez, Eve Marder, Mark Kramer, Uri Eden|Successful prediction of a physiological circuit with known connectivity from spiking activity
51|1 - Poster|Maoz Shamir, Yotam Luz|The effect of STDP temporal structure on the learning of single excitatory and inhibitory synapses
57|1 - Poster|Brian DePasquale, Mark Churchland, Larry Abbott|Low-rank connectivity induces firing rate fluctuations in a chaotic spiking model
58|1 - Poster|Joel Leibo, Fabio Anselmi, Jim Mutch, Akinori Ebihara, Winrich Freiwald, Tomaso Poggio|View-invariance and mirror-symmetric tuning in a model of the macaque face-processing system 
59|1 - Poster|Thomas Akam, Peter Dayan, Rui Costa|Multi-step decision tasks for dissociating model-based and model-free learning in rodents.
62|1 - Poster|David Sussillo, Mark Churchland, Matthew Kaufman, Krishna Shenoy|A recurrent neural network that produces EMG from rhythmic dynamics
63|1 - Poster|Daniel Soudry, Ron Meir|A spiking input-output relation for general biophysical neuron models explains observed 1/f response
65|1 - Poster|Oren Shriki, Jeffrey Alstott, Frederick Carver, Tom Holroyd, Richard Henson, Marie Smith, Edward Bullmore, Richard Coppola, Dietmar Plenz|Neuronal Avalanches in the Resting MEG of the Human Brain
66|1 - Poster|Gamaleldin Elsayed, Matthew Kaufman, Stephen Ryu, Krishna Shenoy, Mark Churchland, John Cunningham|Characterization of Dynamical Activity in Motor Cortex
67|1 - Poster|Michael Avery, Nikil Dutt, Jeffrey Krichmar|Mechanisms and circuitry underlying basal forebrain enhancement of top-down and bottom-up attention
69|1 - Poster|Andrew Saxe, James L. McClelland, Surya Ganguli|A mathematical theory of semantic development
70|1 - Poster|Jonathan Nassi, Ali Cetin, Anna Roe, John Reynolds|Using optogenetics to probe neural circuit mechanisms in the alert, behaving non-human primate
71|1 - Poster|Ziv Williams|Frontal neurons enable retrieval of memories over widely varying temporal scales
72|1 - Poster|Matthew Colonnese|Rapid Development of Feed Forward Inhibition Drives Emergence of the Alert Cortical State
76|1 - Poster|Shirin Hadizadeh, James Hyman, Nina DiPietro, Eldon Emberly, Daniel Durstewitz, Stan Floresco, Jeremy Seamans|Dynamic value encoding by medial PFC neurons characterizes optimal risk discounting behavior.
77|1 - Poster|Shan Shen, Ronald Van den Berg, Wei Ji Ma|When is sensory precision variable?
79|1 - Poster|Lena Sherbakov, Gennady Livitz, Aisha Sohail, Anatoli Gorchetchnikov, Ennio Mingolla, Massimiliano Versace|A computational model of the role of eye-movements in object disambiguation
81|1 - Poster|Wanying Zhang, Randy Bruno|In vivo dissection of layer 1 inputs in the barrel cortex
82|1 - Poster|Kristofer Bouchard, Surya Ganguli, Michael Brainard|Hebbian mechanisms underlying the learning of Markovian sequence probabilities
85|1 - Poster|Pulin Gong, John Palmer|Associative learning as an emergent property of spatially extended spiking neural circuits with STDP
87|1 - Poster|Yasuhiko Igarashi, Masato Okada|Theory of higher-order correlations n neural network with columnar structure
89|1 - Poster|Leonardo Mesquita, Shiva Sinha, Rob de Ruyter van Steveninck|Strategies for optomotor control in free flying Drosophila
90|1 - Poster|Ehsan Arabzadeh, Mehdi Adibi, Colin WG Clifford|POPULATION DECODING IN RAT BARREL CORTEX
92|1 - Poster|John Palmer, Pulin Gong|Formation and regulation of dynamic patterns in two-dimensional spiking neural circuits with STDP
93|1 - Poster|Karthik Shankar|Optimally fuzzy memory
98|1 - Poster|Mijung Park, J. Patrick Weller, Gregory Horwitz, Jonathan Pillow|Adaptive estimation of firing rate maps under super-Poisson variability
99|1 - Poster|Rony Paz|A not so bad tradeoff: perception and generalization of aversive memories
100|1 - Poster|Paolo Puggioni, Miha Pelko, Mark van Rossum, Ian Duguid|Integrative properties of motor cortex pyramidal cells during quiet wakefulness and movement
101|1 - Poster|Cristina Savin, Peter Dayan, Mate Lengyel|Correlations strike back (again): the case of associative memory retrieval
102|1 - Poster|Brian Monson, Yaniv Morgenstern, Dale Purves|Response properties of sensory neurons artificially evolved to maximize information
